"id","profit","cost","reqs","stks"
"0","2885.0","761.0","11101110011111111011111111111101111111111111111111111111111111111111001111111111101111110111110111111111111111011111111111111101101111011110","1111111111111111111111111111111111111111111111111111110111111111111111111111111111111111111111111111"
"1","2865.0","743.0","11101110011111111011111111111101111111111111111111111111111111111111001111111111101111110110100111111111111111011111111111111101101111011110","1111111111111111110111111111111111111111111111111111110111111111111111111111111111111111111111111111"
"2","2844.0","725.0","11101110011111111011111111111001111111111111111111111111111111110111001111111110101111110110100111111111111111011111111111111101101111011110","1111111111111111110111111111111111111111111111111111110111111111111111111011111111111111111111111111"
"3","2825.0","714.0","11101110011111111011111111111001111111111110111111111111111111110111001111111110101111110110100111111111111111011111111111111101101011011110","1111111111111111110111111111111111111111111111110111110111111111111111111011111111111111111111111111"
"4","2804.0","704.0","11101110011111111011111111111001111111111110111111111111111111110111000111111110101111110110100111111111111111011111111111111101101011011110","1111111111111111110111111111111111111111111111110111110111111111111111111011111111111111111110111111"
"5","2783.0","699.0","11101110011111111011111111111001111111111111111101111111111111110111001111111110101111010110100111111111111110011111111111111101101111011110","1111111111111111110111101111111111111111111111111111110111111111111111111011111111111111111111110111"
"6","2777.0","694.0","11101110011111111011111111111001111111111110111111111111111111110111000111111110101111010110100111111111111111011111111111111101101011011110","1111111111111111110111111111111111111111111111110111110111111111111111111011111111111111111110110111"
"7","2764.0","688.0","11101110011111111011111111111001111111111110111101111111111111110111001111111110101111010110100111111111111110011111111111111101101011011110","1111111111111111110111101111111111111111111111110111110111111111111111111011111111111111111111110111"
"8","2743.0","678.0","11101110011111111011111111111001111111111110111101111111111111110111000111111110101111010110100111111111111110011111111111111101101011011110","1111111111111111110111101111111111111111111111110111110111111111111111111011111111111111111110110111"
"9","2725.0","677.0","11101110011111101011111111111001111111111110111101111111111111110111000111111110101111010110100111111111111110011111111111111101101011011110","1111111111111111110111101111111111111111111111110111110111111111111111111011011111111111111110110111"
"10","2723.0","676.0","11101010011111111011111111111001111111111011111101111111111111110111001111111100101111000110100111111111111110011111111111111101101111011110","1111111111111111110111101111111111111111101111111111110111111111111111111011111110111111111111110111"
"11","2717.0","671.0","11101110011111111011111111111001111111111110111101111111111111110111000111111110101111010110100111111111111110011111111110111101101011011110","1111111111111111110111101111011111111111111111110111110111111111111111111011111111111111111110110111"
"12","2712.0","668.0","11101010011111111011111111111001111111111010111101111111111111110111000111111110101111010110100111111111111110011111111111111101101011011110","1111111111111111110111101111111111111111101111110111110111111111111111111011111111111111111110110111"
"13","2704.0","665.0","11101010011111111011111111111001111111111010111101111111111111110111001111111100101111000110100111111111111110011111111111111101101011011110","1111111111111111110111101111111111111111101111110111110111111111111111111011111110111111111111110111"
"14","2683.0","655.0","11101010011111111011111111111001111111111010111101111111111111110111000111111100101111000110100111111111111110011111111111111101101011011110","1111111111111111110111101111111111111111101111110111110111111111111111111011111110111111111110110111"
